Date,SKU,Group,Units Pkg,Avg Price Pkg,Sales Pkg,Turnover per month,Avg Price Pkg binned,Sales Pkg binned,Low avg price,Medium avg price,High avg price
2018-07-01,SKU_01,A,13,5,606,3030,Low,Low,1,0,0
2018-07-01,SKU_02,B,7,7,2,14,Low,Low,1,0,0
2018-07-01,SKU_03,B,7,6,285,1710,Low,Low,1,0,0
2018-07-01,SKU_04,C,4,6,1,6,Low,Low,1,0,0
2018-07-01,SKU_05,C,6,8,28,224,Low,Low,1,0,0
2018-07-01,SKU_53,C,6,8,20,160,Low,Low,1,0,0
2018-07-01,SKU_54,C,5,8,41,328,Low,Low,1,0,0
2018-07-01,SKU_07,D,6,9,2801,25209,Low,High,1,0,0
2018-07-01,SKU_59,D,6,7,117,819,Low,Low,1,0,0
2018-07-01,SKU_08,D,7,8,2155,17240,Low,Medium,1,0,0
2018-07-01,SKU_60,D,8,7,59,413,Low,Low,1,0,0
2018-07-01,SKU_09,D,7,7,165,1155,Low,Low,1,0,0
2018-07-01,SKU_10,D,6,7,1436,10052,Low,Medium,1,0,0
2018-07-01,SKU_11,D,7,7,109,763,Low,Low,1,0,0
2018-07-01,SKU_12,D,5,9,1106,9954,Low,Low,1,0,0
2018-07-01,SKU_13,D,8,8,320,2560,Low,Low,1,0,0
2018-07-01,SKU_14,D,5,7,881,6167,Low,Low,1,0,0
2018-07-01,SKU_15,D,5,7,121,847,Low,Low,1,0,0
2018-07-01,SKU_16,D,4,7,393,2751,Low,Low,1,0,0
2018-07-01,SKU_17,F,7,15,28,420,Medium,Low,0,1,0
2018-07-01,SKU_56,F,6,12,157,1884,Medium,Low,0,1,0
2018-07-01,SKU_18,F,7,12,0,0,Medium,Low,0,1,0
2018-07-01,SKU_19,F,7,14,77,1078,Medium,Low,0,1,0
2018-07-01,SKU_61,F,6,12,237,2844,Medium,Low,0,1,0
2018-07-01,SKU_62,F,6,12,1,12,Medium,Low,0,1,0
2018-07-01,SKU_20,F,7,13,10,130,Medium,Low,0,1,0
2018-07-01,SKU_21,F,6,12,56,672,Medium,Low,0,1,0
2018-07-01,SKU_22,F,7,13,57,741,Medium,Low,0,1,0
2018-07-01,SKU_24,F,6,9,18,162,Low,Low,1,0,0
2018-07-01,SKU_57,F,6,11,103,1133,Medium,Low,0,1,0
2018-07-01,SKU_25,F,6,9,68,612,Low,Low,1,0,0
2018-07-01,SKU_64,F,6,11,209,2299,Medium,Low,0,1,0
2018-07-01,SKU_58,G,8,11,0,0,Medium,Low,0,1,0
2018-07-01,SKU_69,G,8,11,1,11,Medium,Low,0,1,0
2018-07-01,SKU_26,H,5,8,87,696,Low,Low,1,0,0
2018-07-01,SKU_27,I,5,5,358,1790,Low,Low,1,0,0
2018-07-01,SKU_28,I,15,3,30,90,Low,Low,1,0,0
2018-07-01,SKU_29,I,5,8,109,872,Low,Low,1,0,0
2018-07-01,SKU_30,I,5,4,165,660,Low,Low,1,0,0
2018-07-01,SKU_31,I,10,3,35,105,Low,Low,1,0,0
2018-07-01,SKU_32,I,4,6,272,1632,Low,Low,1,0,0
2018-07-01,SKU_33,G,8,15,10,150,Medium,Low,0,1,0
2018-07-01,SKU_34,G,4,7,78,546,Low,Low,1,0,0
2018-07-01,SKU_35,G,4,7,113,791,Low,Low,1,0,0
2018-07-01,SKU_36,J,4,11,82,902,Medium,Low,0,1,0
2018-07-01,SKU_37,J,4,10,312,3120,Low,Low,1,0,0
2018-07-01,SKU_39,J,4,11,135,1485,Medium,Low,0,1,0
2018-07-01,SKU_40,J,4,10,560,5600,Low,Low,1,0,0
2018-07-01,SKU_41,J,6,11,335,3685,Medium,Low,0,1,0
2018-07-01,SKU_42,J,6,11,547,6017,Medium,Low,0,1,0
2018-07-01,SKU_43,J,5,10,193,1930,Low,Low,1,0,0
2018-07-01,SKU_44,J,5,10,239,2390,Low,Low,1,0,0
2018-07-01,SKU_45,J,4,9,2,18,Low,Low,1,0,0
2018-07-01,SKU_46,K,5,9,453,4077,Low,Low,1,0,0
2018-07-01,SKU_66,K,6,8,53,424,Low,Low,1,0,0
2018-07-01,SKU_47,K,5,9,548,4932,Low,Low,1,0,0
2018-07-01,SKU_67,K,6,8,68,544,Low,Low,1,0,0
2018-07-01,SKU_48,L,40,9,75,675,Low,Low,1,0,0
2018-07-01,SKU_68,M,40,8,9,72,Low,Low,1,0,0
2018-07-01,SKU_65,M,80,11,42,462,Medium,Low,0,1,0
2018-07-01,SKU_51,N,100,6,432,2592,Low,Low,1,0,0
2018-07-01,SKU_52,N,100,5,489,2445,Low,Low,1,0,0
2018-07-01,SKU_55,N,50,3,20,60,Low,Low,1,0,0
2018-08-01,SKU_01,A,13,5,852,4260,Low,Low,1,0,0
2018-08-01,SKU_02,B,7,7,0,0,Low,Low,1,0,0
2018-08-01,SKU_03,B,7,6,485,2910,Low,Low,1,0,0
2018-08-01,SKU_04,C,4,6,7,42,Low,Low,1,0,0
2018-08-01,SKU_05,C,6,8,26,208,Low,Low,1,0,0
2018-08-01,SKU_53,C,6,8,90,720,Low,Low,1,0,0
2018-08-01,SKU_54,C,5,8,39,312,Low,Low,1,0,0
2018-08-01,SKU_07,D,6,9,1948,17532,Low,Medium,1,0,0
2018-08-01,SKU_59,D,6,7,103,721,Low,Low,1,0,0
2018-08-01,SKU_08,D,7,8,1233,9864,Low,Medium,1,0,0
2018-08-01,SKU_60,D,8,7,50,350,Low,Low,1,0,0
2018-08-01,SKU_09,D,7,7,227,1589,Low,Low,1,0,0
2018-08-01,SKU_10,D,6,7,445,3115,Low,Low,1,0,0
2018-08-01,SKU_11,D,7,7,190,1330,Low,Low,1,0,0
2018-08-01,SKU_12,D,5,9,748,6732,Low,Low,1,0,0
